"Category","Restaurant.Address","Restaurant.Name","Restaurant.Price.Range","Review.Rate","location"
5,"1871 O'Connor Drive
Toronto, ON M4A 1X1","Masala Kitchen",1,0.9,"43.722188, -79.303236"
6,"2763 Dundas Street W
Toronto, ON M6P 1Y3","Sorella Toronto",1,3.9,"43.665144, -79.461494"
10,"340 Yonge Street
Toronto, ON M5B 1R8","Salad King Restaurant",2,3.9,"43.657648, -79.381728"
7,"335 Bloor Street W
Toronto, ON M5S 1W7","Gyubee Japanese BBQ - Downtown",2,2,"43.66696, -79.400872"
3,"3 Carlton Street
Toronto, ON M5B 1L2","Rolltation",2,4.7,"43.661214, -79.382681"
1,"2035 Kennedy Rd
Toronto, ON M1S 0G5","Whitesides Terrace Grille",3,2.6,"43.776958, -79.283745"
8,"598 College Street
Toronto, ON M6G 1B4","Bi Bim Bap",2,1.5,"43.655262, -79.414142"
9,"1330 Queen Street W
Toronto, ON M6K 1L4","Grand Electric",2,2.7,"43.641675, -79.431608"
7,"1314 Queen Street W
Toronto, ON M6K 1L4","Guu Izakaya Toronto",2,1.6,"43.641867, -79.43109"
6,"1419 Bloor St W
Toronto, ON M6P 3L4","Nonna’s Place",1,1.7,"43.657201, -79.44777"
9,"214 Augusta Avenue
Toronto, ON M5T 2L8","Ko’ox Hana",2,3.5,"43.654775, -79.402205"
11,"698 Queen St E
Toronto, ON M4M 1G9","Pizzaiolo",1,1.4,"43.659037, -79.350201"
7,"5321 Yonge Street
Toronto, ON M2N 5R4","Hakata Shoryuken",2,1.8,"43.773543, -79.413796"
1,"1557 The Queensway
Toronto, ON M8Z 1T8","Wild Wing",2,0.4,"43.617465, -79.538525"
7,"1049 Bloor Street W
Toronto, ON M6H 1M4","COO Café Bread or Rice",2,2.6,"43.660497, -79.431928"
6,"220 Yonge Street
Eaton Center
Toronto, ON M5B 2H1","Trattoria Mercatto",2,2.9,"43.653559, -79.380405"
7,"671 Queen W
Toronto, ON M6J 1E6","Kenzo Ramen",2,3.7,"43.646963, -79.404688"
3,"874 Eglinton Avenue E
Toronto, ON M4G 2L1","Urbun Eats Co",2,0.4,"43.71367, -79.365092"
5,"351 Danforth Avenue
Toronto, ON M4K 1N7","Sher-E-Punjab",2,2.8,"43.677312, -79.353101"
3,"1791 Ave Rd
Toronto, ON M5M 3Z3","Harvey’s Restaurants",1,3.1,"43.730173, -79.418561"
5,"630 Bloor Street W
Toronto, ON M6G 1K7","Maroli Indian Restaurant",2,3,"43.664643, -79.414545"
3,"874 Eglinton Avenue E
Toronto, ON M4G 2L1","Urbun Eats Co",2,3,"43.71367, -79.365092"
5,"505 St Clair Avenue W
Toronto, ON M6C 1A1","Eastern Twist",1,0.9,"43.68294, -79.418491"
7,"335 Bloor Street W
Toronto, ON M5S 1W7","Gyubee Japanese BBQ - Downtown",2,4.6,"43.66696, -79.400872"
2,"266 Spadina Avenue
Toronto, ON M5T 2E4","Goldstone Noodle Restaurant",1,3,"43.652152, -79.397964"
4,"1176 The Queensway
Toronto, ON M8Z 1R5","Bom Apetite Churrasqueira",1,3.7,"43.622328, -79.521818"
1,"1028 Danforth Avenue
Toronto, ON M4J 1M2","Holy Chicken",2,2.7,"43.680763, -79.336528"
4,"163 Spadina Avenue
3rd Floor
Toronto, ON M5V 2A5","Alo Restaurant",4,0.2,"43.648539, -79.395937"
7,"459 Church Street
Toronto, ON M4Y 4C5","Kintaro Izakaya",2,2.7,"43.664158, -79.380274"
12,"546 Church Street
Toronto, ON M4Y 2E1","Ginger",1,3.2,"43.665342, -79.380984"
3,"606 Sherbourne Street
Ground Level
Toronto, ON M4X","Seoul Food Take-Out",1,0.6,"43.672055, -79.3769"
2,"418 Dundas Street W
Toronto, ON M5T 1G7","Asian Legend",2,2.1,"43.653862, -79.395197"
7,"584 Bloor Street W
Toronto, ON M6G 1K4","Arisu Korean BBQ & Sushi",2,4.4,"43.664846, -79.412555"
3,"CF Toronto Eaton Centre","KFC",1,2,"43.654751, -79.380244"
2,"2549 Warden Avenue
Toronto, ON M1W 2H7","Dumplings & Szechuan Cuisine",2,0.2,"43.791648, -79.312797"
2,"398 Parliament Street
Toronto, ON M5A 0A4","Pho U",1,3.3,"43.661659, -79.367076"
2,"5817 Yonge Street
Toronto, ON M2M 3T9","Congee Time",2,2.6,"43.785423, -79.416048"
5,"452 Kingston Rd
Toronto, ON M4L 1V3","Star of Kingston",1,2.1,"43.677122, -79.304032"
1,"416 Roncesvalles Avenue
Toronto, ON M6R 2N2","Loons Restaurant & Pub",2,3.4,"43.65173, -79.45126"
7,"1105 Bay Street
Toronto, ON M5S 2B3","Avocado Sushi",2,2,"43.66774, -79.388621"
8,"2190 McNicoll Avenue
Unit 112-113
Toronto, ON M1V 5M2","Chako",2,2.5,"43.814281, -79.294839"
3,"142 Kendal Avenue
Toronto, ON M5R 1M3","Subway",1,3.6,"43.675545, -79.409865"
5,"804 Eglinton Avenue E
Toronto, ON M4G 2L1","Mt Everest Restaurant",2,4.6,"43.713212, -79.366619"
1,"2-20 College Street
Toronto, ON M5G 1K2","Upper Deck By Fran’s",2,4.6,"43.661451, -79.384068"
3,"523 Danforth Avenue
Toronto, ON M4K 1P7","Popeyes Louisiana Kitchen",1,0.9,"43.67824, -79.348202"
2,"259 Wellington St W
Toronto, ON M5V","Aanch Modernist Indian Cuisine",2,1.4,"43.644708, -79.39067"
2,"235 Carlton Street
Toronto, ON M5A 2L2","China Gourmet Takeout",1,4,"43.664071, -79.368364"
3,"874 Eglinton Avenue E
Toronto, ON M4G 2L1","Urbun Eats Co",2,4.8,"43.71367, -79.365092"
4,"1374 Queen Street W
Toronto, ON M6K 1L7","The Tempered Room",1,0.9,"43.641039, -79.434324"
2,"248 Spadina Avenue
Toronto, ON M5T","Furama Cake and Desserts Garden",1,1.7,"43.651585, -79.397844"
2,"349 Broadview Ave
Toronto, ON M4M 2H1","Wok & Roast Chinese BBQ",1,4.6,"43.665067, -79.352328"
7,"459 Church Street
Toronto, ON M4Y 4C5","Kintaro Izakaya",2,3.4,"43.664158, -79.380274"
10,"2901 Bayview North York
Bayview Village
Toronto, ON M2K 1E6","Thai Express",2,3.7,"43.768361, -79.387068"
11,"1635 Dupont Street
Toronto, ON M6P 3S9","Rancho Relaxo To Go",2,3.7,"43.664598, -79.455644"
5,"243 Avenue Road
Toronto, ON M5R 2J6","Govinda’s",1,4.5,"43.676958, -79.397216"
7,"4207 keele Street
Toronto, ON M3J 3T8","Aji Sushi",2,4.7,"43.773355, -79.493"
3,"178 Dupont Street
Toronto, ON M5R 2E6","Martino’s Pizza",2,1.5,"43.675568, -79.403644"
8,"620 Bloor Street W
Toronto, ON M6G 1K7","Yummy Korean Food Restaurant",1,2.9,"43.664625, -79.414083"
2,"3278 Midland Avenue
Suite D120-D125
Toronto, ON M1V 4A1","Health Gourmet",2,2.6,"43.80632, -79.288306"
3,"4 Walmer Road
Toronto, ON M5S 1X2","The Original Gyro Grill",1,0.5,"43.666581, -79.405812"
1,"1168 Kennedy Road
Toronto, ON M1P","Fanzone Wings & Ribs",2,2.8,"43.753057, -79.276234"
1,"250 Adelaide Street W
Toronto, ON M5H 1X6","The Porch Toronto",2,1.2,"43.648213, -79.389095"
8,"2340 Dundas Street W
Toronto, ON M6P 4A9","Mister Yummy",1,1.5,"43.656982, -79.452426"
12,"252 Spadina Avenue
Toronto, ON M5T 2C2","Bun Saigon Vietnamese Restaurant",1,4.9,"43.651647, -79.397871"
8,"6034 Yonge Street
Toronto, ON M2M 3W5","Daldongnae",2,1.3,"43.78973, -79.418269"
10,"3032 Dundas Street W
Toronto, ON M6P 1Z3","The Friendly Thai",2,1.6,"43.665666, -79.470494"
1,"413 Roncesvalles Avenue
Toronto, ON M6R 2N1","The Westerly",2,2.3,"43.651201, -79.450783"
7,"1769-250 the E Mall
Toronto, ON M9B 6L3","Sushi K Express",1,2.8,"43.63129, -79.555345"
6,"865 York Mills
Unit 9
Toronto, ON M3B 1Y6","Spoon And Fork Plus",2,4.7,"43.754171, -79.349493"
6,"2373 Yonge Street
Toronto, ON M4P 2C8","Grazie Ristorante",2,1.4,"43.709392, -79.398862"
8,"5467 Yonge Street
Toronto, ON M2N 5S1","Oh Bar",2,1.4,"43.777753, -79.414793"
6,"106 Victoria St
Toronto, ON M5C 2B4","La Bettola di Terroni",2,3,"43.6522, -79.378155"
12,"125 Ravel Road
Toronto, ON M2H 1T2","Xe Lua Vietnamese Restaurant",1,2,"43.790736, -79.367012"
1,"50 Gerrard Street E
Toronto, ON M5B 1J6","Steak & Cheese Factory",1,3.1,"43.65991, -79.37929"
5,"804 Eglinton Avenue E
Toronto, ON M4G 2L1","Mt Everest Restaurant",2,0.9,"43.713212, -79.366619"
3,"130 King St
Toronto, ON M5X 1A9","Piazza Manna",2,2.4,"43.648345, -79.383307"
8,"544 Yonge Street
Toronto, ON M4Y 1Y8","The Fry",2,0.2,"43.664253, -79.384437"
5,"4810 Sheppard Avenue E
Unit 20
Toronto, ON M1S 4N6","Spicy Garden",1,4,"43.791588, -79.250917"
3,"558 Jane Street
Toronto, ON M6S 4A5","Pegrolls",1,2.3,"43.663358, -79.490213"
2,"100 Wellington Street West
Toronto, ON M5K 1A1","Eat Canteen",1,4.1,"43.646954, -79.382159"
3,"731 Bloor Street W
Toronto, ON M6G 1L5","Subway",1,4,"43.663407, -79.418558"
9,"2982 Dundas Street W
Toronto, ON M6P 1Z3","Al Pastor",2,0.7,"43.665455, -79.468919"
9,"872 Bloor Street W
Toronto, ON M6G 1M5","La Bella Managua",2,2.9,"43.662231, -79.42499"
2,"635 Gerrard St E
Toronto, ON M4M","Top Bakery House",1,3.8,"43.665751, -79.35066"
6,"909 Davenport Road
Toronto, ON M6G 2B7","Annabelle Pasta Bar",2,4.4,"43.675411, -79.423355"
6,"516 Ave Danforth
Toronto, ON M4K 1P6","Pan On the Danforth",2,1.6,"43.678359, -79.348685"
6,"178 Dupont Street
Toronto, ON M5R 2E6","Martino’s Pizza",2,0.1,"43.675568, -79.403644"
10,"171 East Liberty Street
Unit 153
Toronto, ON M6K","Pepper ring",2,1.4,"43.638265, -79.417441"
1,"200 Bay St
Unit F1
Toronto, ON M5J 2J1","Swiss Chalet Rotisserie & Grill",1,2.7,"43.646449, -79.379615"
9,"780 Queen Street E
Toronto, ON M4M 1H4","La Carnita",2,0.5,"43.659426, -79.347496"
2,"1610 Queen Street E
Toronto, ON M4L 1G2","Pachira Asian Cuisine",1,2.3,"43.666397, -79.316825"
3,"5095 Yonge Street
Toronto, ON M2N 7H3","Wendy’s",1,1.3,"43.768701, -79.412142"
7,"1105 Bay Street
Toronto, ON M5S 2B3","Avocado Sushi",2,2.9,"43.66774, -79.388621"
6,"716 Queen Street W
Toronto, ON M6J 1E9","Sud Forno",2,4.5,"43.646303, -79.409004"
7,"100 Adelaide Street E
Toronto, ON M5C 1K9","Pearl Diver",2,4.6,"43.65157, -79.37377"
5,"1423 Gerrard Street E
Toronto, ON M4L 1Z7","Regency Restaurant",2,2.7,"43.672015, -79.32242"
11,"66 Kingston Rd
Toronto, ON M4L 1S4","Pizzaiolo",2,3.1,"43.669068, -79.312005"
6,"679 Mt Pleasant Road
Toronto, ON M4S","Viva Napoli",2,0.4,"43.705759, -79.388925"
2,"3833 Midland Avenue
Toronto, ON M1V 5L6","Kong Kee Barbeque",1,3.4,"43.813658, -79.291422"
9,"2584 Yonge Street
Toronto, ON M4P 2J3","Tio’s Urban Mexican",2,4,"43.714309, -79.400103"
9,"569 College Street
Toronto, ON M6G 1B2","Reverie at The Park",3,0.7,"43.65516, -79.412779"
1,"557 Dixon Road
Unit 130
Toronto, ON M9W 1H7","St. Louis Bar & Grill",2,1.6,"43.689977, -79.57165"
7,"414 Dundas St W
Toronto, ON M5T 1G7","Shima Japanese Restaurant",2,4,"43.653717, -79.395027"
6,"2088 Yonge Street
Toronto, ON M4S 2A3","Five Doors North",3,3.8,"43.702215, -79.397614"
5,"64 Overlea Boulevard
Unit 10
Toronto, ON M4H 1C4","Pasha Authentic Turkish Cuisine",2,2.6,"43.708364, -79.342651"
2,"170 Spadina Ave
Toronto, ON M5T 2C2","Hot Bunzz Street Cuizine",1,0.5,"43.649122, -79.396901"
10,"2350 Yonge Street
Toronto, ON M4P 2E6","Star King Viet Thai Cuisine",2,2.9,"43.708503, -79.398916"
1,"1100 O'Connor Dr
Toronto, ON M4B 3L4","Harvey’s Restaurants",2,4.3,"43.710996, -79.309017"
1,"1800 Sheppard Ave. E.
Unit 2016
Toronto, ON M2J 5A7","St. Louis Bar & Grill",2,2.5,"43.777758, -79.344451"
1,"807 Queen Street W
Toronto, ON M6J 1G1","Squirly’s",2,3.6,"43.646095, -79.408894"
12,"383 Spadina Avenue
Toronto, ON M5T 2G6","Anh Dao",2,3.1,"43.656345, -79.398961"
6,"2088 Yonge Street
Toronto, ON M4S 2A3","Five Doors North",3,1.2,"43.702215, -79.397614"
6,"3353 Yonge Street
Toronto, ON M4N 2M6","The Monkey Bar",3,2.7,"43.731489, -79.403703"
5,"778 St. Clair Avenue W
Toronto, ON M6C 1B6","Pukka",3,3.7,"43.681191, -79.429274"
4,"Four Seasons Toronto","Café Boulud",4,0.4,"43.671921, -79.388922"
7,"459 Church Street
Toronto, ON M4Y 4C5","Kintaro Izakaya",2,1.7,"43.664158, -79.380274"
1,"2990 Eglinton Ave E
Toronto, ON M1J 2E4","Swiss Chalet Rotisserie & Grill",2,4.5,"43.740597, -79.232747"
12,"351 Jane Street
Toronto, ON M6S 3Z3","Pho VP",2,0,"43.657379, -79.487713"
3,"200 Wellington Street W
Toronto, ON M5V 3C7","Harvest Green",1,0.6,"43.645852, -79.387863"
12,"546 Dundas Street W
Toronto, ON M5T 1H3","Kim Vietnamese Restaurant",1,1.5,"43.652774, -79.3994"
9,"1002 St Clair Ave W
Toronto, ON M6E 1A2","Latin Fiesta Restaurant",2,1.2,"43.679452, -79.437385"
3,"507 Mount Pleasant Rd
Toronto, ON M4S 2L9","Bread & Butter",1,3.7,"43.701638, -79.38744"
10,"3032 Dundas Street W
Toronto, ON M6P 1Z3","The Friendly Thai",2,3.4,"43.665666, -79.470494"
2,"789 Warden Avenue
Unit 2
Toronto, ON M1L 4C2","Hakka Legend Asian Cuisine",2,3.1,"43.72602, -79.286765"
2,"3833 Midland Ave
Suite 9C
Toronto, ON M1N 3Z6","Arden Fast Food",1,1.8,"43.7639, -79.269779"
1,"60 Richmond Street E
Toronto, ON M5C 1N8","Hawthorne Food and Drink",2,3,"43.652368, -79.376226"
1,"2050 Yonge St.
Toronto, ON M4S 1Z9","St. Louis Bar & Grill",2,3.6,"43.701559, -79.39763"
10,"216C Close Avenue
Toronto, ON M6K 2V5","Loga’s Corner",1,4.9,"43.640353, -79.435923"
10,"1018 St Clair Avenue W
Toronto, ON M6E 1A4","Khmer Thai Restaurant",2,3.1,"43.679295, -79.437854"
6,"244 Jane Street
Toronto, ON M6S 3Y8","Campo",2,4.8,"43.655118, -79.486959"
7,"3365 Yonge Street
Toronto, ON M4N 2M4","The Sushi Bar",2,0,"43.731713, -79.40393"
6,"178 Dupont Street
Toronto, ON M5R 2E6","Martino’s Pizza",2,2.8,"43.675568, -79.403644"
3,"220 Bay Street
Toronto, ON M5L 1E9","Soho Sandwich & Cafe",1,1.4,"43.647428, -79.37979"
3,"724 St Clair Avenue W
Toronto, ON M6C 1B3","Gerry’s Fast Foods",1,2.9,"43.681621, -79.427114"
8,"656 Bloor Street W
Toronto, ON M6G 1K9","Hodo Kwaja",1,2.3,"43.664295, -79.415557"
9,"575 College Street
Toronto, ON M6G","Burrito Boyz",1,0.5,"43.655156, -79.412975"
3,"2301 Brimley Road
Toronto, ON M1S","Hong Kong Style Tea & Fast Food",1,3.7,"43.797708, -79.272237"
7,"157 Dundas Street W
Toronto, ON M5G 1C5","Yutaka",2,3.8,"43.655171, -79.385768"
6,"782 Queen Street E
Toronto, ON M4M 1H4","The Peasant Table",2,1.6,"43.659536, -79.347324"
6,"2066 Kipling Avenue
Toronto, ON M9W 4J9","Pizza Hut",2,0.5,"43.714239, -79.568729"
8,"2070 Yonge Street
Toronto, ON M4S 2A3","Lola Sushi",2,4.7,"43.701945, -79.397365"
9,"181 Bay Street
Toronto, ON M5E 1X8","Mucho Burrito",2,2.4,"43.646934, -79.377943"
4,"569 College Street
Toronto, ON M6G 1B2","Reverie at The Park",3,0.5,"43.65516, -79.412779"
12,"351 Yonge Street
Toronto, ON M5B 1S1","Basil Box",2,4.5,"43.657838, -79.381519"
2,"280 Spadina Avenue
Toronto, ON M5T 3A5","Canteen",1,1.8,"43.652586, -79.398445"
6,"613 College Street
Toronto, ON M6G","La Forchetta",3,1.5,"43.654906, -79.414561"
2,"3280 Midland Avenue
Unit 21
Toronto, ON M1V 0C7","Yunnan Steamed Fish Pot",3,4.5,"43.805877, -79.288317"
10,"62 Vaughan Road
Toronto, ON M6G 2N2","Thai Noodle",2,3.2,"43.682322, -79.42001"
7,"245 Eglinton Avenue E
Toronto, ON M4P 3C2","Hokkaido Sushi",2,2.6,"43.708181, -79.389409"
2,"1136 College Street W
Toronto, ON M6H 1B5","Ilhas De Bruma",3,3.5,"43.652334, -79.433657"
5,"1210 Kennedy Road
Toronto, ON M1P 2L1","Kairali - Taste of Kerala",2,3.8,"43.754837, -79.277202"
4,"126 Cumberland St
Toronto, ON M5R 1A6","Jacques’ Bistro Du Parc",3,4.8,"43.670094, -79.392036"
6,"2899 Dufferin Street
Toronto, ON M6B 3S7","Camarra’s Pizzeria & Restaurant",2,3.3,"43.708396, -79.453323"
11,"382 College Street
Toronto, ON M5T 1S7","Hogtown Vegan",2,4.6,"43.657019, -79.405303"
4,"1251 Yonge Street
Toronto, ON M4T","Brownes Bistro",2,1.7,"43.684115, -79.392194"
12,"23 Baldwin St
2nd Fl
Toronto, ON M5T 1L1","Hanoi Bistro",1,3,"43.655975, -79.39299"
6,"1646 Queen St E
Toronto, ON M4L 1G3","Casa Di Giorgios",2,3.6,"43.66684, -79.315218"
1,"250 Adelaide Street W
Toronto, ON M5H 1X6","Rock ‘n’ Horse Saloon",2,3.7,"43.648171, -79.389077"
1,"577 College Street
Toronto, ON M6G 1B2","Sidecar",3,3.6,"43.6552, -79.413083"
2,"2093 Danforth Avenue
Toronto, ON M4C 1K1","Sandy’s Restaurant",1,0.3,"43.685565, -79.312292"
6,"488 Cosburn Avenue
Toronto, ON M4J 2N5","Paul’s Spaghetti",2,3.5,"43.69306, -79.333599"
12,"122 Atlantic Ave
Toronto, ON M6K 1X4","Saigon Bistro",2,1.1,"43.640136, -79.421234"
11,"588 Danforth Ave
Toronto, ON M4K 1R1","Pizzaiolo",2,2.3,"43.678782, -79.346748"
6,"50 Prince Edward Island Crescent
Toronto, ON M6K 3C3","Acqua Dolce",2,4.8,"43.630922, -79.422767"
2,"459 Church Street
Toronto, ON M4Y 4C5","Kintaro Izakaya",2,4.2,"43.664158, -79.380274"
3,"885 Bloor Street W
Toronto, ON M6G 1M4","McDonald’s",1,1.1,"43.662008, -79.425032"
3,"2075 Danforth Avenue
Toronto, ON M4C 1J8","ASAP City",2,3.8,"43.685508, -79.312964"
6,"1870 Danforth Avenue
Toronto, ON M4C 1J4","Melanie’s Bistro & Patisserie",2,4.5,"43.684941, -79.317243"
12,"688 Gerrard Street E
Toronto, ON M4M 1Y3","Mi Mi Restaurant",1,2.4,"43.666376, -79.348773"
7,"1500 Royal York Road
Toronto, ON M9P 3B6","Lan Sushi",2,0.5,"43.691946, -79.531593"
2,"1136 College Street W
Toronto, ON M6H 1B5","Ilhas De Bruma",3,0.3,"43.652334, -79.433657"
4,"69 Front Street E
Toronto, ON M5E 1B5","Le Papillon On Front",2,4.7,"43.648515, -79.373387"
7,"1314 Queen Street W
Toronto, ON M6K 1L4","Guu Izakaya Toronto",2,1.3,"43.641867, -79.43109"
1,"318-10 Dundas St East
Toronto, ON M5B 2L6","Harvey’s Restaurants",1,1.4,"43.656745, -79.380484"
12,"1391 Weston Road
Toronto, ON M6M 2J1","Pho Asia 39",2,3.7,"43.691824, -79.501332"
6,"3157 Dufferin Street
Toronto, ON M6A 2S9","Mirra’s Place",3,2.5,"43.717259, -79.455426"
6,"13 Elm Street
Toronto, ON M5G 1H1","Frascati",2,3.4,"43.657548, -79.382344"
4,"147 Spadina Avenue
Toronto, ON M5V 2L7","Jules Bistro",2,3.2,"43.648055, -79.395733"
5,"216C Close Avenue
Toronto, ON M6K 2V5","Loga’s Corner",1,0.8,"43.640353, -79.435923"
10,"387 King Street W
Toronto, ON M5V 1K1","Thai Princess",2,3.3,"43.645649, -79.39345"
2,"216C Close Avenue
Toronto, ON M6K 2V5","Loga’s Corner",1,4.1,"43.640353, -79.435923"
1,"2050 Yonge St.
Toronto, ON M4S 1Z9","St. Louis Bar & Grill",2,1.2,"43.701559, -79.39763"
4,"200 Wellington Street W
Toronto, ON M5V 3C7","Harvest Green",1,3.4,"43.645852, -79.387863"
11,"1255 Dundas Street W
Toronto, ON M6J 1X6","The Goods",2,2,"43.649313, -79.424092"
6,"37 Blue Jays Way
Toronto, ON M5V 9G9","Pizza Rustica",2,1.4,"43.645088, -79.391932"
5,"1020 Danforth Ave
Toronto, ON M4J 1M2","Makkah Restaurant",1,0,"43.6807, -79.336655"
8,"722 Queen St E
Toronto, ON M4M 1H2","KABOOM Chicken",2,4.3,"43.659084, -79.349403"
2,"327 Spadina Avenue
Unit A
Toronto, ON M5T 2E9","Chine Hot Pot & Noodles",2,1.1,"43.654507, -79.398409"
5,"460 McNicoll Avenue
Toronto, ON M2H 2E1","Mistan Indian Food",1,3.4,"43.804728, -79.341927"
2,"5306 Yonge Street
Toronto, ON M2N 0E3","Hey Noodles",2,3.6,"43.772847, -79.414106"
10,"467 Bloor Street W
Toronto, ON M5S 1X9","Thai Basil",2,3.6,"43.665907, -79.406693"
5,"4777 Leslie Street
Toronto, ON M2J 2K8","Jerusalem Restaurant",2,4.8,"43.778937, -79.363867"
9,"569 College Street
Toronto, ON M6G 1B2","Reverie at The Park",3,3.5,"43.65516, -79.412779"
6,"156 Front Street W
Toronto, ON M5J 2L6","Joe Badali’s Ristorante Italiano & Bar",2,3.3,"43.645282, -79.384304"
7,"335 Bloor Street W
Toronto, ON M5S 1W7","Gyubee Japanese BBQ - Downtown",2,1.3,"43.66696, -79.400872"
6,"930 Queen Street W
Toronto, ON M6J 1G6","AMA",2,2.9,"43.645042, -79.416121"
7,"358 Gerrard Street E
Toronto, ON M5A 2H4","Qi Sushi",2,4.7,"43.662553, -79.364269"
2,"145 King Street W
Toronto, ON M5H 1J8","Modern Wok",1,2.1,"43.647469, -79.384193"
3,"70 Weston Road
Toronto, ON M6N 0A7","Five Guys",2,4.3,"43.673888, -79.469605"
8,"647 Bloor Street W
Toronto, ON M6G 1L1","Jin Dal Lae",2,4.8,"43.664166, -79.41517"
1,"99 Blue Jays Way
Toronto, ON M5V 9G9","Wayne Gretzky’s Toronto",2,2.8,"43.645294, -79.391674"
6,"810 Church Street
Toronto, ON M4W 2M4","Pizza Hut",2,4.3,"43.671973, -79.385281"
7,"6026 Yonge St
Toronto, ON M2M 3W5","TORCH Pressed Sushi",2,4.8,"43.789482, -79.418195"
3,"2267 Lslington Avenue
Unit 4B
Toronto, ON M9W 3W7","Living Well",1,2.3,"43.716434, -79.555027"
8,"950 Eglinton Avenue W
Toronto, ON M6C 2C3","Bi Bim Bap",2,2,"43.700534, -79.42872"
10,"709 Mount Pleasant Road
Toronto, ON M4S 2N4","Bolan Thai Cuisine",2,1.1,"43.706481, -79.389336"
5,"216C Close Avenue
Toronto, ON M6K 2V5","Loga’s Corner",1,2.9,"43.640353, -79.435923"
2,"333 Bay St
Unit 6
Toronto, ON M5H","Szechuan Express BAC",1,1,"43.650355, -79.38044"
