Category,Restaurant Address,Restaurant Name,Restaurant Price Range,Restaurant Latitude,Restaurant Longitude,Review Rate,Restaurant_Price_Range_Code
American,"2050 Yonge St.
Toronto, ON M4S 1Z9",St. Louis Bar & Grill,2,43.701559,-79.39763,2.3,2
American,"99 Blue Jays Way
Toronto, ON M5V 9G9",Wayne Gretzky’s Toronto,2,43.645294,-79.391674,2.8,2
American,"318-10 Dundas St East
Toronto, ON M5B 2L6",Harvey’s Restaurants,1,43.656745,-79.380484,1.4,1
American,"299 King St W
Toronto, ON M5V 1J5",N’awlins Jazz Bar & Dining,2,43.646273,-79.390162,3,2
American,"142 Cumberland St
Toronto, ON M5R 1A8",Hemingway’s Restaurant,2,43.670074,-79.3928,1.4,2
American,"50 Norfinch Drive
Toronto, ON M3N 1X1",Element Lounge and Restaurant,2,43.757051,-79.528484,1.8,2
American,"107 Church Street
Toronto, ON M5C 2G5",Wild Wing,2,43.652691,-79.375413,1.7,2
American,"3401 Dufferin Street
Unit 30
Toronto, ON M6A 3A1",Moxie’s Grill & Bar,2,43.726654,-79.451636,1,2
American,"One King West Hotel & Residence
1 King Street W
Toronto, ON M5H 1A1",Teller’s Bar and Lounge,2,43.648858,-79.378145,2.6,2
American,"230 Adelaide Street W
Toronto, ON M5H 1W7",Copacabana Brazilian Steakhouse,3,43.648344,-79.387831,1.3,3
American,"250 Adelaide Street W
Toronto, ON M5H 1X6",The Porch Toronto,2,43.648213,-79.389095,3.9,2
American,"410 Adelaide Street W
Toronto, ON M5V 1S8",Craft Kitchen,2,43.646647,-79.396602,1.8,2
American,"756 Toula Drive
Toronto, ON L6E 1O9",Blast from the Past,1,43.690552,-79.326009,2.3,1
American,"1641 Queen St E
Toronto, ON M4L 1G4",Harvey’s Restaurants,2,43.666658,-79.315113,2.8,2
American,"1100 O'Connor Dr
Toronto, ON M4B 3L4",Harvey’s Restaurants,2,43.710996,-79.309017,4.3,2
American,"528 Yonge Street
Toronto, ON M4Y 1X9",St. Louis Bar & Grill,2,43.663786,-79.384234,0.1,2
American,"75 Hanna Ave
Toronto, ON M6K 3N7",Harvey’s Restaurants,1,43.640182,-79.419003,1.3,1
American,"1660 Bayview Ave
Toronto, ON M4G 3C2",Originals Bar,2,43.707284,-79.376091,2.2,2
American,"240 King Street E
Toronto, ON M5A 1K1",Betty’s,2,43.651577,-79.367438,0.8,2
American,"50 Gerrard Street E
Toronto, ON M5B 1J6",Steak & Cheese Factory,1,43.659910000000004,-79.37929,3.1,1
American,"569 College Street
Toronto, ON M6G 1B2",Reverie at The Park,3,43.65516,-79.412779,0.5,3
American,"2050 Yonge St.
Toronto, ON M4S 1Z9",St. Louis Bar & Grill,2,43.701559,-79.39763,0.6,2
American,"561 Danforth Ave.
Toronto, ON M4K 1P9",St. Louis Bar & Grill,2,43.678267,-79.347056,3.6,2
American,"2171 Steeles Ave W
Toronto, ON M3J 3N2",East Side Mario’s,2,43.785618,-79.476049,2.9,2
American,"807 Queen Street W
Toronto, ON M6J 1G1",Squirly’s,2,43.646095,-79.408894,3.6,2
American,"245 Eglinton Avenue E
Toronto, ON M4P 3B7",Granite Brewery & Restaurant,2,43.708176,-79.38957,0.8,2
American,"1521 Yonge St
Toronto, ON M4T 1Z2",Harvey’s Restaurants,2,43.689609,-79.394409,4.4,2
American,"104 -509 St Clair Ave West
Toronto, ON M6C 1A1",Harvey’s Restaurants,1,43.682926,-79.418604,1.3,1
American,"364 Danforth Avenue
Toronto, ON M4K 2Z1",Burger Stomper,2,43.677459,-79.352397,2,2
American,"663 King Street W
Toronto, ON M5V 1M5",Banknote Bar,2,43.643845,-79.402362,4.5,2
American,"376 Bloor Street W
Toronto, ON M5S 1X2",St. Louis Bar & Grill,2,43.6663,-79.406203,2.3,2
American,"230 Adelaide Street W
Toronto, ON M5H 1W7",Copacabana Brazilian Steakhouse,3,43.648344,-79.387831,4.6,3
American,"250 Adelaide Street W
Toronto, ON M5H 1X6",The Porch Toronto,2,43.648213,-79.389095,4.7,2
American,"569 College Street
Toronto, ON M6G 1B2",Reverie at The Park,3,43.65516,-79.412779,4.8,3
American,"Sheraton Centre Toronto Hotel
123 Queen Street W
Toronto, ON M5H 3M9",BnB Bistro,2,43.651181,-79.384465,5,2
American,"2700 St Clair Avenue W
Unit 1
Toronto, ON M6N 1M2",Twenty Two Lounge Espresso Bar & Grill,2,43.666432,-79.498194,0.1,2
American,"1159 Davenport Road
Toronto, ON M6H 2G4",The Gem,2,43.674608,-79.432096,0,2
American,"301 Front Street W
Toronto, ON M5V 2T6",Horizons Restaurant,2,43.642566,-79.387056,0.3,2
American,"900 Don Mills Rd
Toronto, ON M3C 1V6",Swiss Chalet Rotisserie & Grill,2,43.726987,-79.341494,0.5,2
American,"1077 Bloor St W
Toronto, ON M6H 1M5",Black Briik Restobar,2,43.660093,-79.433138,2.8,2
American,"250 Adelaide Street W
Toronto, ON M5H 1X6",Rock ‘n’ Horse Saloon,2,43.648171,-79.389077,4.9,2
American,"1915 Yonge Street
Toronto, ON M4S 1Z3",Kramer’s Bar & Grill,2,43.698638,-79.396331,3.1,2
American,"117 John Street
Toronto, ON M5V 2E2",The Office Pub,2,43.648182,-79.390206,3.5,2
American,"362 Yonge St
Toronto, ON M5B 1S5",Swiss Chalet Rotisserie & Grill,2,43.658317,-79.382174,2.7,2
American,"590 Keele St
Toronto, ON M6N 3E2",Harvey’s Restaurants,2,43.67149,-79.467331,1.5,2
American,"595 Bay Street
Unit A08
Toronto, ON M5G 2C2",St. Louis Bar & Grill,2,43.65622,-79.383291,4.4,2
American,"266 Queens Quay W
Toronto, ON M5J 1B5",Swiss Chalet Rotisserie & Grill,2,43.639094,-79.386103,0.4,2
American,"4211 Yonge St
Toronto, ON M2P 1N9",Swiss Chalet Rotisserie & Grill,2,43.747545,-79.407313,3,2
American,"65 Jefferson Avenue
Toronto, ON M6K 1Y3",Liberty Village Market & Cafe,1,43.637849,-79.42127,4.7,1
American,"569 College Street
Toronto, ON M6G 1B2",Reverie at The Park,3,43.65516,-79.412779,3.7,3
American,"2050 Yonge St.
Toronto, ON M4S 1Z9",St. Louis Bar & Grill,2,43.701559,-79.39763,2.9,2
American,"278 Jarvis St
Toronto, ON M5B 2C5",Harvey’s Restaurants,1,43.660541,-79.376142,2.6,1
American,"362 Bloor Street W
Suite 3
Toronto, ON M5S 1X2",The Puck Sports Bar and Grill,2,43.666441,-79.405658,0.1,2
American,"432 College Street
Toronto, ON M5T 1T3",Mars Food,1,43.656725,-79.407225,3,1
American,"250 Adelaide Street W
Toronto, ON M5H 1X6",Rock ‘n’ Horse Saloon,2,43.648171,-79.389077,3.7,2
American,"1791 Ave Rd
Toronto, ON M5M 3Z3",Harvey’s Restaurants,1,43.730173,-79.418561,3.6,1
American,"490 Bloor Street W
Toronto, ON M5S 1X8",Smoke’s Poutinerie,1,43.66561,-79.40983,2.3,1
American,"313 Bremner Blvd
Toronto, ON M5V 3V3",St. Louis Bar & Grill,2,43.64041,-79.390461,3.6,2
American,"200 Victoria Street
Toronto, ON M5B 2R3",Fran’s Restaurant,2,43.654397,-79.379065,1,2
American,"230 Adelaide Street W
Toronto, ON M5H 1W7",Copacabana Brazilian Steakhouse,3,43.648344,-79.387831,1.6,3
American,"250 Adelaide Street W
Toronto, ON M5H 1X6",Rock ‘n’ Horse Saloon,2,43.648171,-79.389077,0.6,2
American,"2035 Kennedy Rd
Toronto, ON M1S 0G5",Whitesides Terrace Grille,3,43.776958,-79.283745,2.6,3
American,"1560 Yonge St
Unit 107
Toronto, ON M4T 2S9",Swiss Chalet Rotisserie & Grill,2,43.68993,-79.394941,1.3,2
American,"12 Kensington Ave
Toronto, ON M5T 2J7",The Last Temptation,1,43.653177,-79.400335,3.1,1
American,"250 Adelaide Street W
Toronto, ON M5H 1X6",The Porch Toronto,2,43.648213,-79.389095,4.5,2
American,"3140 Dufferin Avenue
Unit 102
Toronto, ON M6A 2T1",Swiss Chalet Rotisserie & Grill,2,43.716649,-79.45631,4.2,2
American,"590 Keele St
Toronto, ON M6N 3E2",Swiss Chalet Rotisserie & Grill,2,43.671593,-79.467455,1,2
American,"2674 Yonge Street
Toronto, ON M4N 2H7",Sugar Miracles,1,43.716805,-79.400696,3.2,1
American,"2050 Yonge St.
Toronto, ON M4S 1Z9",St. Louis Bar & Grill,2,43.701559,-79.39763,3,2
American,"924 Dixon Road
Toronto, ON M9W 1J9",Airport Gate Cafe & Grill,2,43.687412,-79.596681,4.3,2
American,"2050 Yonge St.
Toronto, ON M4S 1Z9",St. Louis Bar & Grill,2,43.701559,-79.39763,0.7,2
American,"1557 The Queensway
Toronto, ON M8Z 1T8",Wild Wing,2,43.617465,-79.538525,0.4,2
American,"3253 Bayview Ave
Toronto, ON M2K 1G4",Swiss Chalet Rotisserie & Grill,2,43.788697,-79.392851,2.7,2
American,"1255 The Queensway
Toronto, ON M8Z 1S1",Swiss Chalet Rotisserie & Grill,2,43.620342,-79.523957,2.5,2
American,"Toronto Islands
Toronto, ON M5J 1A1",The Carousel Café,2,43.628947,-79.39442,3.2,2
American,"416 Roncesvalles Avenue
Toronto, ON M6R 2N2",Loons Restaurant & Pub,2,43.65173,-79.45126,3.4,2
American,"200 Wellington Street W
Toronto, ON M5V 3C7",Harvest Green,1,43.645852,-79.387863,2,1
American,"250 Adelaide Street W
Toronto, ON M5H 1X6",The Porch Toronto,2,43.648213,-79.389095,1.2,2
American,"20 Dundas Street West
Toronto, ON M5G 2C2",Red Lobster,2,43.656363,-79.383616,0.5,2
American,"46 Blue Jays Way
Toronto, ON M5V 2G3",Wahlburgers,2,43.644733,-79.391851,1.8,2
American,"1400 O'Connor Dr
Toronto, ON M4B 2T8",Swiss Chalet Rotisserie & Grill,2,43.712856,-79.307552,3.9,2
American,"2555 Victoria Park Ave
Toronto, ON M1T 1A3",Swiss Chalet Rotisserie & Grill,2,43.773305,-79.321704,2.1,2
American,"60 Overlea Blvd
Toronto, ON M4H 1B6",Swiss Chalet Rotisserie & Grill,2,43.707786,-79.344355,4.1,2
American,"700 University Ave
Toronto, ON M5G 1Z5",Swiss Chalet Rotisserie & Grill,2,43.659503,-79.390912,3.8,2
American,"900 Dufferin St
Unit 3
Toronto, ON M6H 4A9",Swiss Chalet Rotisserie & Grill,2,43.656013,-79.435247,0.9,2
American,"Toronto Island Marina
Centre Island
Centre Island, ON",Upper Deck Bar,2,43.623677,-79.38137,2.5,2
American,"569 College Street
Toronto, ON M6G 1B2",Reverie at The Park,3,43.65516,-79.412779,4.5,3
American,"2050 Yonge St.
Toronto, ON M4S 1Z9",St. Louis Bar & Grill,2,43.701559,-79.39763,3.6,2
American,"250 Adelaide Street W
Toronto, ON M5H 1X6",Rock ‘n’ Horse Saloon,2,43.648171,-79.389077,0.5,2
American,"3200 Dufferin Street
Toronto, ON M6A 2T3",Red Lobster,2,43.718716,-79.456312,0.7,2
American,"1077 Wilson Avenue
Toronto, ON M3K 1G7",Swiss Chalet Rotisserie & Grill,2,43.726919,-79.480442,0.4,2
American,"11 William Kitchen Rd
Toronto, ON M1P 5B7",Wild Wing,2,43.772832,-79.280214,4.1,2
American,"101 Wicksteed Ave
Toronto, ON M4G 4H9",Harvey’s Restaurants,2,43.710664,-79.357532,3.1,2
American,"2827 Dundas Street West
Toronto, ON M6P 1Y6",Shoxs Billiard Lounge,2,43.665311,-79.463625,2,2
American,"34 King Street E
Toronto, ON M5C 2L9",Fit for Life,1,43.649458,-79.376687,3.1,1
American,"38 The Esplanade
Toronto, ON M5E 1A1",Tilted Kilt Pub & Eatery,2,43.64693,-79.374978,2.9,2
American,"2050 Yonge St.
Toronto, ON M4S 1Z9",St. Louis Bar & Grill,2,43.701559,-79.39763,0.7,2
American,"874 Eglinton Avenue E
Toronto, ON M4G 2L1",Urbun Eats Co,2,43.71367,-79.365092,4.4,2
American,"2452 Sheppard Avenue E
Toronto, ON M2J 4W6",Chuck E. Cheese’s,1,43.775773,-79.325493,2.8,1
American,"523 Danforth Avenue
Toronto, ON M4K 1P7",Popeyes Louisiana Kitchen,1,43.67824,-79.348202,2.3,1
American,"557 Dixon Road
Unit 130
Toronto, ON M9W 1H7",St. Louis Bar & Grill,2,43.689977,-79.57165,1.6,2
American,"121 Dundas Street W
Toronto, ON M5G 1C4",Denny’s,2,43.655371,-79.384432,2.8,2
American,"2955 Bloor St W
Toronto, ON M8X 1B8",Swiss Chalet Rotisserie & Grill,2,43.647773,-79.508321,0.1,2
American,"7 King Street E
Toronto, ON M5C 3C5",The Office Pub on King,2,43.649065,-79.37693,2.2,2
American,"49 Eglinton Ave East
Toronto, ON M4P 1G6",Harvey’s Restaurants,2,43.706983,-79.396499,0.8,2
American,"2990 Eglinton Ave E
Toronto, ON M1J 2E4",Swiss Chalet Rotisserie & Grill,2,43.740597,-79.232747,4.5,2
American,"250 Adelaide Street W
Toronto, ON M5H 1X6",The Porch Toronto,2,43.648213,-79.389095,2.9,2
American,"200 Bay St
Unit F1
Toronto, ON M5J 2J1",Swiss Chalet Rotisserie & Grill,1,43.646449,-79.379615,2.7,1
American,"1800 Sheppard Ave. East
Unit 2044
Toronto, ON M2J 5A7",Moxie’s Grill & Bar,2,43.777878,-79.344654,3,2
American,"2058 Ellesmere Road
Unit 3
Toronto, ON M1H 2V6",La Sani Grill,2,43.776412,-79.234966,0.1,2
American,"600 Dixon Rd
Toronto, ON M9W 1J1",Perkins Restaurant & Bakery,2,43.692686,-79.572725,3.1,2
American,"Centerpoint Mall
6508 Yonge Street
Toronto, ON M2M 4J8",Pickle Barrel,2,43.795813,-79.421306,4.6,2
American,"14 Duncan Street
Toronto, ON M5H 3G8",Grace O’Malley’s,2,43.647686,-79.388585,1.8,2
American,"1800 Sheppard Ave. E.
Unit 2016
Toronto, ON M2J 5A7",St. Louis Bar & Grill,2,43.777758,-79.344451,2.5,2
American,"2050 Yonge St.
Toronto, ON M4S 1Z9",St. Louis Bar & Grill,2,43.701559,-79.39763,4.7,2
American,"250 Adelaide Street W
Toronto, ON M5H 1X6",Rock ‘n’ Horse Saloon,2,43.648171,-79.389077,4.7,2
American,"104-33 Yonge Street
Toronto, ON M5E 1G4",Fran’s Restaurant,2,43.647539,-79.376024,2,2
American,"2130 Lawrence Ave E
Toronto, ON M1R 3A6",Swiss Chalet Rotisserie & Grill,2,43.745827,-79.289001,2.6,2
American,"853 Milner Ave
Toronto, ON M1B 3C3",Swiss Chalet Rotisserie & Grill,2,43.800394,-79.198418,3.4,2
American,"125 Bremner Blvd
Toronto, ON M5J 3A8",Hoops Sports Bar & Grill,2,43.642256,-79.383064,0.5,2
American,"1980 Avenue Road
North Toronto, ON M5M 4A4",Drums N Flats,2,43.735113,-79.420186,2.2,2
American,"100 Adelaide Street E
Toronto, ON M5C 1K9",Pearl Diver,2,43.65157,-79.37377,4.5,2
American,"874 Eglinton Avenue E
Toronto, ON M4G 2L1",Urbun Eats Co,2,43.71367,-79.365092,1.6,2
American,"250 Adelaide Street W
Toronto, ON M5H 1X6",Rock ‘n’ Horse Saloon,2,43.648171,-79.389077,1.8,2
American,"64 Overlea Boulevard
Unit 10
Toronto, ON M4H 1C4",Pasha Authentic Turkish Cuisine,2,43.708364,-79.342651,1.4,2
American,"569 College Street
Toronto, ON M6G 1B2",Reverie at The Park,3,43.65516,-79.412779,2.5,3
American,"345 Bloor St E
Toronto, ON M4W 3J6",Swiss Chalet Rotisserie & Grill - Temp. CLOSED,2,43.671596,-79.378396,4.9,2
American,"2050 Yonge St.
Toronto, ON M4S 1Z9",St. Louis Bar & Grill,2,43.701559,-79.39763,1.9,2
American,"200 Wellington Street W
Toronto, ON M5V 3C7",Harvest Green,1,43.645852,-79.387863,1.9,1
American,"244 Jane Street
Toronto, ON M6S 3Y8",Campo,2,43.655118,-79.486959,3,2
American,"569 College Street
Toronto, ON M6G 1B2",Reverie at The Park,3,43.65516,-79.412779,1.7,3
American,"2050 Yonge St.
Toronto, ON M4S 1Z9",St. Louis Bar & Grill,2,43.701559,-79.39763,4.5,2
American,"100 Adelaide Street E
Toronto, ON M5C 1K9",Pearl Diver,2,43.65157,-79.37377,4.3,2
American,"4777 Leslie Street
Toronto, ON M2J 2K8",Jerusalem Restaurant,2,43.778937,-79.363867,2.5,2
American,"Toronto Pearson Airport
3111 Convair Drive
Mississauga, ON L5P",Red Rockets 192 Grill,2,43.671829,-79.596278,2.7,2
American,"250 Adelaide Street W
Toronto, ON M5H 1X6",Rock ‘n’ Horse Saloon,2,43.648171,-79.389077,0.4,2
American,"577 College Street
Toronto, ON M6G 1B2",Sidecar,3,43.6552,-79.413083,2.2,3
American,"250 Adelaide Street W
Toronto, ON M5H 1X6",Rock ‘n’ Horse Saloon,2,43.648171,-79.389077,3,2
American,"Toronto Airport
6300 Silverdart Dr
Mississauga, ON L5P 1B2",Swiss Chalet Rotisserie & Grill,2,43.671295,-79.596051,4.1,2
American,"569 College Street
Toronto, ON M6G 1B2",Reverie at The Park,3,43.65516,-79.412779,4.1,3
American,"2050 Yonge St.
Toronto, ON M4S 1Z9",St. Louis Bar & Grill,2,43.701559,-79.39763,0.3,2
American,"100 Adelaide Street E
Toronto, ON M5C 1K9",Pearl Diver,2,43.65157,-79.37377,2.2,2
Chinese,"309 Spadina Avenue
Toronto, ON M5T 2E6",Swatow Restaurant,2,43.653836,-79.398109,2.4,2
Chinese,"66 Edward Street
Toronto, ON M5G 1C9",GB Hand-pulled Noodles,2,43.656641,-79.383747,2.3,2
Chinese,"214 King Street W
Toronto, ON M5H 3S6",Lee Chen Asian Bistro,2,43.647369,-79.386763,1.4,2
Chinese,"328 Spadina Avenue
Toronto, ON M5T 2E7",Dumpling House Restaurant,1,43.65379,-79.398698,0.1,1
Chinese,"503 College Street
Toronto, ON M6G 1A5",DaiLo,3,43.655808,-79.409905,3.5,3
Chinese,"2181 Bloor Street W
Toronto, ON M6S 1N2",Delights of China,1,43.651263,-79.474637,0.3,1
Chinese,"472 Dundas Street W
Toronto, ON M5T 1G8",Hong Kong Bistro Cafe,1,43.653312,-79.396844,3.3,1
